Index,Directors,Genres,Number of movies,Number of awards,Number of Facebook Likes
1244,Steven E. de Souza,"Crime, Drama, Mystery, Thriller",7,5,133
1245,Steven Quale,"Action, Fiction, Science",7,2,77
1246,Steven R. Monroe,"Action, Adventure, Drama, History, Romance, War",45,0,68
1247,Steven Seagal,Drama,1,12,0
1248,Steven Shainberg,"Comedy, Drama, Horror, Music, Romance, Thriller",8,9,30
1249,Steven Soderbergh,"Crime, Drama, Fiction, Mystery, Science, Thriller",43,1,0
1250,Steven Spielberg,"Drama, History, Romance",58,3,14000
1251,Steven Zaillian,"Action, Adventure, Crime, Drama, Fantasy, Mystery, Thriller",5,1,234
1252,Stewart Hendler,"Action, Adventure, Fiction, Mystery, Science",10,3,10
1253,Stiles White,"Comedy, Drama, Fiction, Romance, Science",1,0,10
1254,Stuart Baird,"Fiction, Horror, Science",3,2,53
1255,Stuart Beattie,"Action, Adventure, Comedy, Crime, Drama, Fiction, Romance, Science, Thriller",2,1,72
1256,Stuart Gillard,Drama,54,1,8
1257,Stuart Gordon,"Comedy, Drama, Family",21,21,216
1258,Susan Stroman,"Comedy, Drama",2,1,38
1259,Susanna White,"Comedy, Drama, Music",27,2,24
1260,Susanne Bier,"Action, Adventure, Drama, Fantasy, Fiction, History, Science, Thriller, War",21,1,369
1261,Sydney Pollack,"Action, Adventure, Comedy, Crime, Drama, History, Mystery, Romance, Thriller, War",41,2,521
1262,Sylvain Chomet,"Drama, Fiction, Science, Thriller",7,4,162
1263,Sylvain White,"Adventure, Animation, Family",31,2,41
1264,Sylvester Stallone,Horror,10,3,13000
1265,Sylvio Tabet,"Action, Adventure, Thriller",1,0,0
1266,Takao Okawara,"Adventure, Drama, Fantasy, Romance, Thriller",10,1,2
1267,Takashi Shimizu,"Comedy, Drama, Mystery",39,7,70
1268,Takashi Yamazaki,Western,24,18,7
1269,Takeshi Kitano,"Action, Adventure, Fiction, Science, Thriller, Western",19,100,0
1270,Tamra Davis,"Action, Adventure, Crime, Drama, Fiction, History, Horror, Science, Thriller, Western",69,4,33
1271,Tarsem Singh,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Fiction, Horror, Romance, Science, Thriller",13,11,763
1272,Tate Taylor,"Comedy, Drama",11,1,150
1273,Tay Garnett,"Comedy, Drama, Romance",76,4,10
1274,Taylor Hackford,"Adventure, Comedy, Crime, Fiction, Science",25,1,138
1275,Ted Demme,"Action, Adventure, Animation, Comedy, Music",21,1,47
1276,Ted Kotcheff,"Adventure, Drama, Mystery, Romance, Thriller",48,11,270
1277,Ted Post,"Drama, Thriller",91,1,57
1278,Teddy Chan,"Comedy, Crime, Drama, Romance, Thriller",12,14,3
1279,Terence Davies,"Action, Adventure, Comedy, Crime, Drama, Fiction, Horror, Science, Thriller",13,58,25
1280,Terence Young,"Horror, Thriller",40,2,92
1281,Terrence Malick,"Action, Adventure, Comedy, Crime, Horror, Mystery",16,3,0
1282,Terry George,"Action, Adventure, Comedy, Drama, Romance",11,1,83
1283,Terry Gilliam,"Action, Adventure, Comedy",19,1,0
1284,Terry Zwigoff,"Action, Comedy, Crime, Fiction, Science, Thriller",8,1,72
1285,Thea Sharrock,"Crime, Drama, Mystery, Thriller",5,3,17
1286,Theodore Melfi,Drama,10,2,51
1287,Thomas Bezucha,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Fiction, Music, Mystery, Romance, Science, Thriller, Western",4,8,15
1288,Thomas Carter,"Comedy, Drama",55,3,49
1289,Thomas Langmann,"Action, Adventure, Crime, Drama, Fantasy, Fiction, Science, Thriller, War",3,1,0
1290,Thomas Vinterberg,"Comedy, Drama, History",23,2,346
1291,Thor Freudenthal,"Comedy, Crime, Drama",21,4,87
1292,Tim Burton,"Action, Adventure, Drama, Family, Fantasy, Romance, Thriller",38,2,13000
1293,Tim Fywell,"Drama, Romance, Thriller",41,9,3
1294,Tim Hill,"Drama, Mystery, Thriller",14,2,25
1295,Tim Johnson,"Action, Adventure, Comedy, Drama, Fantasy, Romance",8,8,12
1296,Tim Miller,"Action, Adventure, Fantasy, Thriller",5,1,84
1297,Tim Robbins,"Action, Adventure, Comedy, Crime, Drama, Music, Mystery, Thriller",12,1,0
1298,Tim Story,"Action, Adventure, Comedy, Fantasy, Fiction, Science",28,6,167
1299,Timur Bekmambetov,"Action, Adventure, Animation, Comedy, Family, Fiction, Science",19,30,335
1300,Tobe Hooper,"Adventure, Comedy, Crime, Drama, Romance",39,13,365
1301,Tod Williams,"Drama, Horror, Thriller",5,5,21
1302,Todd Field,"Action, Adventure, Crime, Drama, Fiction, Mystery, Romance, Science, Thriller",13,3,143
1303,Todd Graff,"Adventure, Animation, Comedy, Family",3,3,650
1304,Todd Haynes,"Comedy, Drama, Family, Fiction, Music, Mystery, Romance, Science, Thriller",21,1,162
1305,Todd Lincoln ,"Drama, Mystery, Thriller",7,0,0
1306,Todd Phillips,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Fiction, Horror, Mystery, Romance, Science, Thriller",16,4,480
1307,Todd Solondz,"Action, Adventure, Drama, Fiction, Horror, Romance, Science, Thriller",13,1,377
1308,Todd Strauss-Schulson,"Action, Drama, History, War, Western",30,6,12
1309,Tom Dey,"Crime, Drama",7,0,9
1310,Tom Gormican,"Action, Adventure, Crime, Drama, History, Mystery, Thriller, War",1,0,19
1311,Tom Hanks,"Comedy, Crime, Drama, Mystery, Romance, Thriller",8,2,15000
1312,Tom Holland,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Fiction, Science, Thriller, War",1,34,85
1313,Tom Hooper,"Drama, Romance",23,1,0
1314,Tom McCarthy,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Fiction, Horror, Mystery, Romance, Science, Thriller",8,1,310
1315,Tom McGrath,"Action, Adventure, Comedy, Western",10,1,96
1316,Tom McLoughlin,"Action, Adventure, Drama, Fantasy, Fiction, History, Horror, Mystery, Romance, Science, Thriller, War",40,1,41
1317,Tom Putnam,"Comedy, Drama, Family, Fantasy, Romance, War",17,15,15
1318,Tom Shadyac,"Crime, Drama, History, Mystery, Romance, Thriller",13,3,293
1319,Tom Tykwer,Action,21,1,670
1320,Tom Vaughan,"Action, Adventure, Animation, Comedy, Crime, Drama, Family, Fantasy, Romance, Western",25,5,12
1321,Tommy Lee Jones,"Action, Adventure, Comedy, Drama, Fiction, Science",4,1,0
1322,Tommy Lee Wallace,Drama,23,3,24
1323,Tommy O'Haver,"Comedy, Drama, Romance",13,4,13
1324,Tommy Wirkola,"Crime, Drama, Romance",7,13,75
1325,Tony Bancroft,"Action, Adventure, Crime, Drama, Horror, Mystery, Romance, Thriller",6,2,7
1326,Tony Bill,"Comedy, Drama",33,1,23
1327,Tony Gilroy,"Adventure, Comedy, Crime, Drama, Romance, Thriller",4,2,209
1328,Tony Jaa,"Action, Adventure, Crime, Drama, Fiction, History, Mystery, Science, Thriller, War",3,4,0
1329,Tony Kaye,"Comedy, Drama, Romance",23,17,194
1330,Tony Richardson,"Action, Adventure, Comedy, Crime, Drama, History, Thriller",40,2,62
1331,Tony Scott,"Action, Comedy, Crime, Music",29,2,12000
1332,Travis Cluff,"Drama, History, War",6,0,3
1333,Trey Parker,"Comedy, Drama, Family, Music",15,1,406
1334,Troy Duffy,"Comedy, Drama, Romance",3,0,78
1335,Troy Miller,"Action, Crime, Drama, Fiction, Science, Thriller",119,7,14
1336,Troy Nixey,"Action, Adventure, Animation, Family, Fantasy, Fiction, Mystery, Science, Thriller",2,1,24
1337,Tyler Perry,Drama,51,57,0
1338,Udayan Prasad,"Comedy, Drama",16,10,4
1339,Uli Edel,"Action, Crime, Drama, Fantasy, Fiction, Science, Thriller",36,1,34
1340,Ulu Grosbard,"Adventure, Comedy, Drama, Romance, Western",7,3,22
1341,Uwe Boll,"Action, Crime, Drama, Thriller",33,11,892
1342,Vadim Perelman,"Action, Adventure, Crime, Drama, Fiction, Science, Thriller",8,15,26
1343,Vera Farmiga,"Action, Adventure, Fiction, Horror, Mystery, Science, Thriller",1,1,0
1344,Vic Armstrong,Comedy,6,10,179
1345,Vicky Jenson,"Comedy, Drama",10,22,96
1346,Victor Fleming,"Action, Adventure, Drama, Fiction, Science, Thriller, War",50,1,149
1347,Victor Nunez,"Adventure, Comedy, Drama, Romance",9,15,9
1348,Victor Salva,"Action, Adventure, Comedy, Crime, Drama, Romance",13,8,108
1349,Vincent Gallo,"Action, Adventure, Animation, Comedy, Drama, Family, Fantasy, Fiction, Science, Thriller",23,23,787
1350,Vincent Ward,"Drama, Fiction, Science",9,26,25
1351,Vincente Minnelli,"Action, Drama, Fiction, Horror, Science, Thriller, Western",40,1,136
1352,Vincenzo Natali,"Action, Adventure, Comedy, Drama, Fantasy, Fiction, Horror, Mystery, Science, Thriller",29,29,165
1353,Vladlen Barbe,"Comedy, Drama",8,1,0
1354,Vondie Curtis-Hall,"Adventure, Drama, History, Romance, War",17,1,170
1355,Wally Pfister,"Action, Adventure, Drama, Fiction, History, Science, Thriller, War",4,1,0
1356,Walt Becker,"Action, Crime, Drama, Mystery, Thriller, War",11,1,12
1357,Walter Hill,"Comedy, Crime, Drama, Romance",25,2,394
1358,Walter Murch,"Comedy, Drama, Romance",2,3,181
1359,Walter Salles,"Comedy, Romance",30,2,179
1360,Warren Beatty,"Comedy, Drama, Fantasy, History, Thriller",6,1,631
1361,Wayne Beach,"Action, Crime, Drama, Mystery, Thriller, War",1,0,7
1362,Wayne Kramer,"Action, Adventure, Fiction, Science, Thriller",7,7,47
1363,Wayne Wang,"Action, Adventure, Fantasy, Horror, Thriller",24,1,61
1364,Werner Herzog,"Action, Adventure, Crime, Drama, Family, Fantasy, Fiction, Romance, Science, Thriller",73,1,0
1365,Wes Anderson,"Action, Adventure, Comedy, Family, Fantasy, Fiction, Science, Thriller",18,7,0
1366,Wes Ball,"Documentary, History",8,2,47
1367,Wes Craven,"Crime, Drama, Mystery, Romance",33,17,0
1368,Will Canon,"Comedy, Drama, Family, Fantasy, Romance",6,3,8
1369,Will Finn,"Drama, History",4,2,6
1370,Will Gluck,"Drama, Music, Romance",12,1,87
1371,Willard Huyck,"Action, Adventure, Comedy, Crime, Fiction, Horror, Science",4,1,8
1372,William A. Fraker,"Action, Adventure, Drama, Romance",10,6,28
1373,William A. Graham,"Action, Comedy, Crime, Documentary, Drama, Fiction, Music, Romance, Science",125,1,8
1374,William Brent Bell,"Action, Adventure, Comedy, Crime, Fiction, Mystery, Science",7,2,19
1375,William Dear,"Comedy, Crime, Drama, Family, Horror, Mystery, Thriller, War",38,8,50
1376,William Eubank,"Action, Adventure, Comedy, Drama, Family, Fantasy, History, Mystery, Romance, Thriller",5,2,18
1377,William Friedkin,"Crime, Drama, Fiction, Music, Science",38,1,607
1378,William Malone,"Comedy, Fantasy",18,4,37
1379,William Sachs,"Action, Adventure, Comedy, Drama, Family, Fantasy, Fiction, Science, Thriller",12,4,14
1380,William Shatner,"Adventure, Animation, Family, Fantasy",13,1,0
1381,William Wyler,"Adventure, Comedy, Crime, Drama, Fantasy, Romance",76,3,355
1382,Wilson Yip,"Comedy, Crime, Drama, Fantasy, Fiction, Mystery, Romance, Science, Thriller",27,22,25
1383,Wolfgang Becker,"Action, Adventure, Fiction, Science, Thriller",10,1,31
1384,Wolfgang Petersen,"Action, Adventure, Comedy, Crime, Drama, Mystery, Romance, Thriller, War",30,2,249
1385,Wong Kar-wai,"Action, Comedy, Crime, Drama, Horror, Mystery, Thriller",31,1,0
1386,Woody Allen,"Action, Adventure, Drama, Thriller",55,4,11000
1387,Wych Kaosayananda,"Action, Adventure, Animation, Comedy, Drama, Family, Fantasy, Fiction, History, Music, Romance, Science, Thriller",9,0,8
1388,Xavier Beauvois,"Action, Adventure, Fiction, Mystery, Science, Thriller",10,1,22
1389,Xavier Gens,"Action, Adventure, Animation, Comedy, Crime, Drama, Family, Fantasy, Fiction, History, Horror, Mystery, Science, Thriller, War",14,6,87
1390,Yash Chopra,"Comedy, Drama, Romance",22,41,147
1391,Yoon Je-kyoon,"Action, Adventure, Crime, Drama, Fantasy, Fiction, History, Music, Mystery, Romance, Science, Thriller, War, Western",6,12,0
1392,Yvette Kaplan,"Action, Comedy, Crime, Drama, Mystery, Romance, Thriller, War, Western",11,4,0
1393,Zach Braff,"Adventure, Crime, Drama, Family, History, Mystery, Romance, Thriller",10,3,0
1394,Zack Snyder,"Drama, Romance",22,18,0
1395,Zal Batmanglij,"Action, Crime, Drama, Fantasy, Fiction, Horror, Mystery, Romance, Science, Thriller",5,7,129
1396,Zhang Yimou,"Action, Adventure, Crime, Drama, Fiction, Mystery, Science, Thriller",34,2,0
